"#"  ," ","Time"                       ,"Priority","Category"                ,"Message"                                   ,"Source"                                                     ,"Destination"                                 ,"Notes"                                                            ,"Rule"
"1"  ,"" ,"UTC 11/01/2014 07:12:21.048","Info"    ,"Firewall Logging"        ,"Log successfully sent via email"           ,""                                                           ,""                                            ,""                                                                 ,""
"2"  ,"" ,"UTC 11/01/2014 07:12:32.384","Notice"  ,"Network Access"          ,"Web management request allowed"            ,"216.255.240.34, 53769, X1"                                  ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                         ,""
"3"  ,"" ,"UTC 11/01/2014 07:12:42.944","Notice"  ,"Network Access"          ,"UDP packet dropped"                        ,"94.41.55.43, 38861, X1"                                     ,"173.240.220.68, 25091, X1"                   ,"Port: 25091"                                                      ,""
"4"  ,"" ,"UTC 11/01/2014 07:12:45.944","Info"    ,"Network Access"          ,"DNS packet allowed"                        ,"172.30.2.8, 53, X0, complab-spare.complab.eng"              ,"172.30.51.1, 1029, X0"                       ,"Port:  1029"                                                      ,""
"5"  ,"" ,"UTC 11/01/2014 07:13:07.448","Info"    ,"Authenticated Access"    ,"User logged out - inactivity timer expired","172.30.73.28, 0, X0 tdetty"                                 ,"172.30.51.1, 0, X0"                          ,"tdetty"                                                           ,""
"6"  ,"" ,"UTC 11/01/2014 07:13:09.432","Info"    ,"Network Access"          ,"ICMP packet from LAN allowed"              ,"172.30.51.1, 3, X0"                                         ,"172.30.2.6, 3, X0, complab-bdc.complab.eng"  ,"ICMP Destination Unreachable, Code: 3"                            ,""
"7"  ,"" ,"UTC 11/01/2014 07:13:12.240","Notice"  ,"Network Access"          ,"UDP packet from LAN dropped"               ,"172.30.50.6, 68, X0"                                        ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                  ,""
"8"  ,"" ,"UTC 11/01/2014 07:13:37.704","Notice"  ,"Network Access"          ,"Web management request allowed"            ,"216.255.240.34, 53791, X1"                                  ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                         ,""
"9"  ,"" ,"UTC 11/01/2014 07:13:38.896","Notice"  ,"Network Access"          ,"TCP connection dropped"                    ,"194.85.30.250, 52462, X1"                                   ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                      ,""
"10" ,"" ,"UTC 11/01/2014 07:13:43.656","Info"    ,"Network Access"          ,"DNS packet allowed"                        ,"172.30.2.8, 53, X0, complab-spare.complab.eng"              ,"172.30.51.1, 1044, X0"                       ,"Port:  1044"                                                      ,""
"11" ,"" ,"UTC 11/01/2014 07:13:48.352","Notice"  ,"Network Access"          ,"UDP packet dropped"                        ,"194.85.30.250, 10227, X1"                                   ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                      ,""
"12" ,"" ,"UTC 11/01/2014 07:14:11.224","Info"    ,"Network Access"          ,"ICMP packet from LAN allowed"              ,"172.30.51.1, 3, X0"                                         ,"172.30.2.6, 3, X0, complab-bdc.complab.eng"  ,"ICMP Destination Unreachable, Code: 3"                            ,""
"13" ,"" ,"UTC 11/01/2014 07:14:19.896","Notice"  ,"Network Access"          ,"UDP packet from LAN dropped"               ,"172.30.50.6, 68, X0"                                        ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                  ,""
"14" ,"" ,"UTC 11/01/2014 07:14:42.080","Notice"  ,"Network Access"          ,"Web management request allowed"            ,"180.188.253.18, 55939, X1, pacenet.253.188.180.IN-ADDR.ARPA","173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                         ,""
"15" ,"" ,"UTC 11/01/2014 07:14:43.624","Info"    ,"Network Access"          ,"DNS packet allowed"                        ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                 ,"172.30.51.1, 1076, X0"                       ,"Port:  1076"                                                      ,""
"16" ,"" ,"UTC 11/01/2014 07:14:51.368","Notice"  ,"Network Access"          ,"UDP packet dropped"                        ,"68.195.39.69, 43742, X1"                                    ,"173.240.220.68, 62810, X1"                   ,"Port: 62810"                                                      ,""
"17" ,"" ,"UTC 11/01/2014 07:14:53.592","Warning" ,"SSO Agent Authentication","SSO agent returned error"                  ,"172.30.2.25, 2265, X0"                                      ,"172.30.73.30, 0, X0"                         ,"Error communicating with OS: [53] The network path was not found.",""
"18" ,"" ,"UTC 11/01/2014 07:15:02.464","Notice"  ,"Network Access"          ,"TCP connection dropped"                    ,"202.179.31.242, 19154, X1"                                  ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                      ,""
"19" ,"" ,"UTC 11/01/2014 07:15:08.592","Warning" ,"SSO Agent Authentication","SSO agent returned error"                  ,"172.30.2.25, 2265, X0"                                      ,"172.30.73.21, 0, X0"                         ,"Error communicating with OS: [53] The network path was not found.",""
"20" ,"" ,"UTC 11/01/2014 07:15:11.672","Info"    ,"Network Access"          ,"ICMP packet from LAN allowed"              ,"172.30.51.1, 3, X0"                                         ,"172.30.2.5, 3, X0, complab-ad.complab.eng"   ,"ICMP Destination Unreachable, Code: 3"                            ,""
"21" ,"" ,"UTC 11/01/2014 07:15:24.656","Notice"  ,"Network Access"          ,"UDP packet from LAN dropped"               ,"172.30.50.6, 68, X0"                                        ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                  ,""
"22" ,"" ,"UTC 11/01/2014 07:15:47.416","Notice"  ,"Network Access"          ,"Web management request allowed"            ,"216.255.240.34, 53835, X1"                                  ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                         ,""
"23" ,"" ,"UTC 11/01/2014 07:15:47.480","Info"    ,"Network Access"          ,"DNS packet allowed"                        ,"172.30.2.8, 53, X0, complab-spare.complab.eng"              ,"172.30.51.1, 1107, X0"                       ,"Port:  1107"                                                      ,""
"24" ,"" ,"UTC 11/01/2014 07:15:55.752","Notice"  ,"Network Access"          ,"UDP packet dropped"                        ,"108.0.191.113, 31542, X1"                                   ,"173.240.220.68, 31585, X1"                   ,"Port: 31585"                                                      ,""
"25" ,"" ,"UTC 11/01/2014 07:16:26.912","Notice"  ,"Network Access"          ,"UDP packet from LAN dropped"               ,"172.30.50.6, 68, X0"                                        ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                  ,""
