"#"  ," ","Time"                       ,"Priority","Category"      ,"Message"                                              ,"Source"                                                              ,"Destination"                                 ,"Notes"                                                                                                                   ,"Rule"
"1"  ,"" ,"UTC 11/01/2014 07:36:50.384","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                                  ,"172.30.2.5, 3, X0, complab-ad.complab.eng"   ,"ICMP Destination Unreachable, Code: 3"                                                                                   ,""
"2"  ,"" ,"UTC 11/01/2014 07:36:57.720","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 54228, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"3"  ,"" ,"UTC 11/01/2014 07:37:26.912","Notice"  ,"Network Access","UDP packet dropped"                                   ,"72.191.23.86, 11174, X1"                                             ,"173.240.220.68, 31585, X1"                   ,"Port: 31585"                                                                                                             ,""
"4"  ,"" ,"UTC 11/01/2014 07:37:26.928","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                       ,"172.30.51.1, 1353, X0"                       ,"Port:  1353"                                                                                                             ,""
"5"  ,"" ,"UTC 11/01/2014 07:38:01.320","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                                  ,"172.30.2.5, 3, X0, complab-ad.complab.eng"   ,"ICMP Destination Unreachable, Code: 3"                                                                                   ,""
"6"  ,"" ,"UTC 11/01/2014 07:38:02.592","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 54255, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"7"  ,"" ,"UTC 11/01/2014 07:38:26.272","Notice"  ,"Network Access","UDP packet dropped"                                   ,"77.121.252.164, 35077, X1"                                           ,"173.240.220.68, 31585, X1"                   ,"Port: 31585"                                                                                                             ,""
"8"  ,"" ,"UTC 11/01/2014 07:38:26.288","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                         ,"172.30.51.1, 1360, X0"                       ,"Port:  1360"                                                                                                             ,""
"9"  ,"" ,"UTC 11/01/2014 07:38:39.896","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                         ,""
"10" ,"" ,"UTC 11/01/2014 07:39:02.592","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 54279, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"11" ,"" ,"UTC 11/01/2014 07:39:31.064","Notice"  ,"Network Access","UDP packet dropped"                                   ,"95.191.214.2, 28397, X1"                                             ,"173.240.220.68, 25091, X1"                   ,"Port: 25091"                                                                                                             ,""
"12" ,"" ,"UTC 11/01/2014 07:39:31.320","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                         ,"172.30.51.1, 1366, X0"                       ,"Port:  1366"                                                                                                             ,""
"13" ,"" ,"UTC 11/01/2014 07:39:31.320","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                                  ,"172.30.2.6, 3, X0, complab-bdc.complab.eng"  ,"ICMP Destination Unreachable, Code: 3"                                                                                   ,""
"14" ,"" ,"UTC 11/01/2014 07:39:38.784","Notice"  ,"Network Access","TCP connection dropped"                               ,"81.163.64.80, 32195, X1"                                             ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                             ,""
"15" ,"" ,"UTC 11/01/2014 07:40:02.608","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 54299, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"16" ,"" ,"UTC 11/01/2014 07:40:35.000","Notice"  ,"Network Access","UDP packet dropped"                                   ,"174.239.64.50, 5638, X1"                                             ,"173.240.220.68, 25091, X1"                   ,"Port: 25091"                                                                                                             ,""
"17" ,"" ,"UTC 11/01/2014 07:40:35.080","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                         ,"172.30.51.1, 1375, X0"                       ,"Port:  1375"                                                                                                             ,""
"18" ,"" ,"UTC 11/01/2014 07:40:40.592","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                         ,""
"19" ,"" ,"UTC 11/01/2014 07:41:02.608","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 54323, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"20" ,"" ,"UTC 11/01/2014 07:41:06.800","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                                  ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3"                                                                                   ,""
"21" ,"" ,"UTC 11/01/2014 07:41:29.000","Notice"  ,"Network Access","TCP connection dropped"                               ,"213.24.127.19, 20803, X1"                                            ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                             ,""
"22" ,"" ,"UTC 11/01/2014 07:41:37.208","Info"    ,"Network Access","DNS packet allowed"                                   ,"4.2.2.3, 53, X1, c.resolvers.level3.net"                             ,"173.240.220.68, 1024, X1"                    ,"Port:  1024"                                                                                                             ,""
"23" ,"" ,"UTC 11/01/2014 07:41:38.608","Notice"  ,"Network Access","UDP packet dropped"                                   ,"213.24.127.19, 5834, X1"                                             ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                             ,""
"24" ,"" ,"UTC 11/01/2014 07:42:02.624","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 54351, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"25" ,"" ,"UTC 11/01/2014 07:42:39.144","Notice"  ,"Network Access","UDP packet dropped"                                   ,"1.53.93.27, 27757, X1"                                               ,"173.240.220.68, 31585, X1"                   ,"Port: 31585"                                                                                                             ,""
