"#"  ," ","Time"                       ,"Priority","Category"      ,"Message"                       ,"Source"                                                          ,"Destination"                                 ,"Notes"                                ,"Rule"
"1"  ,"" ,"UTC 11/01/2014 08:06:09.528","Notice"  ,"Network Access","TCP connection dropped"        ,"122.225.97.96, 6000, X1"                                         ,"173.240.220.68, 22, X1"                      ,"SSH"                                  ,""
"2"  ,"" ,"UTC 11/01/2014 08:06:09.768","Info"    ,"Network Access","ICMP packet from LAN allowed"  ,"172.30.51.1, 3, X0"                                              ,"172.30.2.6, 3, X0, complab-bdc.complab.eng"  ,"ICMP Destination Unreachable, Code: 3",""
"3"  ,"" ,"UTC 11/01/2014 08:06:19.144","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                             ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"4"  ,"" ,"UTC 11/01/2014 08:07:07.736","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 54840, X1"                                       ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"5"  ,"" ,"UTC 11/01/2014 08:07:24.784","Notice"  ,"Network Access","UDP packet dropped"            ,"195.88.63.254, 1029, X1"                                         ,"173.240.220.68, 20475, X1"                   ,"Port: 20475"                          ,""
"6"  ,"" ,"UTC 11/01/2014 08:07:27.752","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                   ,"172.30.51.1, 1645, X0"                       ,"Port:  1645"                          ,""
"7"  ,"" ,"UTC 11/01/2014 08:07:29.816","Info"    ,"Network Access","ICMP packet from LAN allowed"  ,"172.30.51.1, 3, X0"                                              ,"172.30.2.5, 3, X0, complab-ad.complab.eng"   ,"ICMP Destination Unreachable, Code: 3",""
"8"  ,"" ,"UTC 11/01/2014 08:07:38.672","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                             ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"9"  ,"" ,"UTC 11/01/2014 08:08:07.736","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 54856, X1"                                       ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"10" ,"" ,"UTC 11/01/2014 08:08:27.752","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                   ,"172.30.51.1, 1651, X0"                       ,"Port:  1651"                          ,""
"11" ,"" ,"UTC 11/01/2014 08:09:04.480","Notice"  ,"Network Access","UDP packet dropped"            ,"173.240.220.50, 33252, X1"                                       ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                       ,""
"12" ,"" ,"UTC 11/01/2014 08:09:07.736","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 54875, X1"                                       ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"13" ,"" ,"UTC 11/01/2014 08:09:27.752","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                      ,"172.30.51.1, 1653, X0"                       ,"Port:  1653"                          ,""
"14" ,"" ,"UTC 11/01/2014 08:09:47.880","Notice"  ,"Network Access","TCP connection dropped"        ,"92.6.98.139, 54299, X1, host-92-6-98-139.as43234.net"            ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"15" ,"" ,"UTC 11/01/2014 08:09:56.352","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                             ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"16" ,"" ,"UTC 11/01/2014 08:10:07.736","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 54891, X1"                                       ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"17" ,"" ,"UTC 11/01/2014 08:10:19.368","Notice"  ,"Network Access","UDP packet dropped"            ,"46.147.135.121, 10562, X1, net135.79.95-121.izhevsk.ertelecom.ru","173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"18" ,"" ,"UTC 11/01/2014 08:10:19.656","Info"    ,"Network Access","ICMP packet from LAN allowed"  ,"172.30.51.1, 3, X0"                                              ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3",""
"19" ,"" ,"UTC 11/01/2014 08:10:27.752","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                     ,"172.30.51.1, 1658, X0"                       ,"Port:  1658"                          ,""
"20" ,"" ,"UTC 11/01/2014 08:11:15.880","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                             ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"21" ,"" ,"UTC 11/01/2014 08:11:17.736","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 54913, X1"                                       ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"22" ,"" ,"UTC 11/01/2014 08:11:23.128","Notice"  ,"Network Access","UDP packet dropped"            ,"115.64.214.202, 63378, X1, 115-64-214-202.static.tpgi.com.au"    ,"173.240.220.68, 31585, X1"                   ,"Port: 31585"                          ,""
"23" ,"" ,"UTC 11/01/2014 08:11:27.752","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                      ,"172.30.51.1, 1662, X0"                       ,"Port:  1662"                          ,""
"24" ,"" ,"UTC 11/01/2014 08:11:40.864","Notice"  ,"Network Access","TCP connection dropped"        ,"92.6.98.139, 54509, X1, host-92-6-98-139.as43234.net"            ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"25" ,"" ,"UTC 11/01/2014 08:12:17.736","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 54932, X1"                                       ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"26" ,"" ,"UTC 11/01/2014 08:12:27.752","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                     ,"172.30.51.1, 1667, X0"                       ,"Port:  1667"                          ,""
