"#"  ," ","Time"                       ,"Priority","Category"      ,"Message"                                              ,"Source"                                                        ,"Destination"                                 ,"Notes"                                                                                                                   ,"Rule"
"1"  ,"" ,"UTC 11/01/2014 08:40:09.160","Notice"  ,"Network Access","UDP packet dropped"                                   ,"142.196.0.40, 50683, X1, 142-196-0-40.res.bhn.net"             ,"173.240.220.68, 16975, X1"                   ,"Port: 16975"                                                                                                             ,""
"2"  ,"" ,"UTC 11/01/2014 08:40:37.768","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 55416, X1"                                     ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"3"  ,"" ,"UTC 11/01/2014 08:40:47.880","Notice"  ,"Network Access","TCP connection dropped"                               ,"218.77.79.43, 35880, X1"                                       ,"173.240.220.68, 53, X1"                      ,"DNS (Name Service) TCP"                                                                                                  ,""
"4"  ,"" ,"UTC 11/01/2014 08:40:52.592","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                           ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                         ,""
"5"  ,"" ,"UTC 11/01/2014 08:41:06.560","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                            ,"172.30.2.6, 3, X0, complab-bdc.complab.eng"  ,"ICMP Destination Unreachable, Code: 3"                                                                                   ,""
"6"  ,"" ,"UTC 11/01/2014 08:41:07.768","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                    ,"172.30.51.1, 1788, X0"                       ,"Port:  1788"                                                                                                             ,""
"7"  ,"" ,"UTC 11/01/2014 08:41:09.272","Notice"  ,"Network Access","UDP packet dropped"                                   ,"142.196.0.40, 50683, X1, 142-196-0-40.res.bhn.net"             ,"173.240.220.68, 16975, X1"                   ,"Port: 16975"                                                                                                             ,""
"8"  ,"" ,"UTC 11/01/2014 08:41:47.768","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 55435, X1"                                     ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"9"  ,"" ,"UTC 11/01/2014 08:41:54.816","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                           ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                         ,""
"10" ,"" ,"UTC 11/01/2014 08:42:27.784","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                    ,"172.30.51.1, 1794, X0"                       ,"Port:  1794"                                                                                                             ,""
"11" ,"" ,"UTC 11/01/2014 08:42:47.768","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 55450, X1"                                     ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"12" ,"" ,"UTC 11/01/2014 08:43:01.560","Notice"  ,"Network Access","UDP packet dropped"                                   ,"173.240.220.50, 39771, X1"                                     ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                          ,""
"13" ,"" ,"UTC 11/01/2014 08:43:12.272","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                            ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3"                                                                                   ,""
"14" ,"" ,"UTC 11/01/2014 08:43:27.784","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                   ,"172.30.51.1, 1799, X0"                       ,"Port:  1799"                                                                                                             ,""
"15" ,"" ,"UTC 11/01/2014 08:43:32.672","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                           ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                         ,""
"16" ,"" ,"UTC 11/01/2014 08:43:47.768","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 55466, X1"                                     ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"17" ,"" ,"UTC 11/01/2014 08:44:10.176","Notice"  ,"Network Access","UDP packet dropped"                                   ,"2.236.246.107, 62978, X1"                                      ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                             ,""
"18" ,"" ,"UTC 11/01/2014 08:44:27.784","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                    ,"172.30.51.1, 1803, X0"                       ,"Port:  1803"                                                                                                             ,""
"19" ,"" ,"UTC 11/01/2014 08:44:45.832","Notice"  ,"Network Access","UDP packet dropped"                                   ,"121.6.76.13, 32874, X1, bb121-6-76-13.singnet.com.sg"          ,"173.240.220.68, 27630, X1"                   ,"Port: 27630"                                                                                                             ,""
"20" ,"" ,"UTC 11/01/2014 08:44:47.400","Notice"  ,"Network Access","Web management request allowed"                       ,"100.43.81.145, 47794, X1"                                      ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"21" ,"" ,"UTC 11/01/2014 08:45:06.624","Notice"  ,"Firewall Event","System time updated based on response from NTP server",""                                                              ,""                                            ,"Received reply from NTP server 204.2.134.164. Update system time from 11/01/2014 01:45:06.240 to 11/01/2014 01:45:06.624",""
"22" ,"" ,"UTC 11/01/2014 08:45:14.736","Notice"  ,"Network Access","UDP packet dropped"                                   ,"173.240.220.50, 33067, X1"                                     ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                          ,""
"23" ,"" ,"UTC 11/01/2014 08:45:27.784","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                 ,"172.30.51.1, 1808, X0"                       ,"Port:  1808"                                                                                                             ,""
"24" ,"" ,"UTC 11/01/2014 08:45:34.480","Notice"  ,"Network Access","TCP connection dropped"                               ,"5.100.125.72, 56346, X1, 5-100-125-72.ipoe.vladlink.net"       ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                             ,""
"25" ,"" ,"UTC 11/01/2014 08:45:46.928","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                            ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3"                                                                                   ,""
"26" ,"" ,"UTC 11/01/2014 08:45:47.768","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 55496, X1"                                     ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"27" ,"" ,"UTC 11/01/2014 08:46:27.784","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                 ,"172.30.51.1, 1814, X0"                       ,"Port:  1814"                                                                                                             ,""
"28" ,"" ,"UTC 11/01/2014 08:46:29.384","Notice"  ,"Network Access","UDP packet dropped"                                   ,"173.240.220.50, 46530, X1"                                     ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                          ,""
"29" ,"" ,"UTC 11/01/2014 08:46:47.768","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 55513, X1"                                     ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"30" ,"" ,"UTC 11/01/2014 08:46:59.944","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                           ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                         ,""
"31" ,"" ,"UTC 11/01/2014 08:47:27.784","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                   ,"172.30.51.1, 1818, X0"                       ,"Port:  1818"                                                                                                             ,""
"32" ,"" ,"UTC 11/01/2014 08:47:40.480","Notice"  ,"Network Access","UDP packet dropped"                                   ,"5.100.125.72, 1034, X1, 5-100-125-72.ipoe.vladlink.net"        ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                             ,""
"33" ,"" ,"UTC 11/01/2014 08:47:40.480","Notice"  ,"Network Access","TCP connection dropped"                               ,"5.100.125.72, 56828, X1, 5-100-125-72.ipoe.vladlink.net"       ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                             ,""
"34" ,"" ,"UTC 11/01/2014 08:47:47.768","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 55528, X1"                                     ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"35" ,"" ,"UTC 11/01/2014 08:48:27.784","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                 ,"172.30.51.1, 1820, X0"                       ,"Port:  1820"                                                                                                             ,""
"36" ,"" ,"UTC 11/01/2014 08:48:38.096","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                            ,"172.30.2.5, 3, X0, complab-ad.complab.eng"   ,"ICMP Destination Unreachable, Code: 3"                                                                                   ,""
"37" ,"" ,"UTC 11/01/2014 08:48:47.768","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 55543, X1"                                     ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"38" ,"" ,"UTC 11/01/2014 08:48:57.208","Info"    ,"Network Access","DNS packet allowed"                                   ,"4.2.2.3, 53, X1, c.resolvers.level3.net"                       ,"173.240.220.68, 1024, X1"                    ,"Port:  1024"                                                                                                             ,""
"39" ,"" ,"UTC 11/01/2014 08:49:03.336","Notice"  ,"Network Access","UDP packet dropped"                                   ,"2.236.246.107, 41887, X1"                                      ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                             ,""
"40" ,"" ,"UTC 11/01/2014 08:49:20.432","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                           ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                         ,""
"41" ,"" ,"UTC 11/01/2014 08:49:38.320","Notice"  ,"Network Access","Web management request allowed"                       ,"204.212.170.10, 16747, X1, snwlhosted.com"                     ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"42" ,"" ,"UTC 11/01/2014 08:49:47.768","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 55561, X1"                                     ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"43" ,"" ,"UTC 11/01/2014 08:49:55.832","Notice"  ,"Network Access","TCP connection dropped"                               ,"151.15.58.147, 59217, X1, ppp-147-58.15-151.iol.it"            ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                             ,""
"44" ,"" ,"UTC 11/01/2014 08:49:57.224","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                   ,"172.30.51.1, 1827, X0"                       ,"Port:  1827"                                                                                                             ,""
"45" ,"" ,"UTC 11/01/2014 08:50:04.848","Notice"  ,"Network Access","UDP packet dropped"                                   ,"178.184.89.27, 38381, X1"                                      ,"173.240.220.68, 31585, X1"                   ,"Port: 31585"                                                                                                             ,""
"46" ,"" ,"UTC 11/01/2014 08:50:06.640","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                            ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3"                                                                                   ,""
"47" ,"" ,"UTC 11/01/2014 08:50:25.192","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                           ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                         ,""
"48" ,"" ,"UTC 11/01/2014 08:50:47.768","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 55576, X1"                                     ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"49" ,"" ,"UTC 11/01/2014 08:51:06.688","Notice"  ,"Network Access","UDP packet dropped"                                   ,"78.205.45.149, 48818, X1, sgc91-6-78-205-45-149.fbx.proxad.net","173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                             ,""
"50" ,"" ,"UTC 11/01/2014 08:51:07.880","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                    ,"172.30.51.1, 1834, X0"                       ,"Port:  1834"                                                                                                             ,""
"51" ,"" ,"UTC 11/01/2014 08:51:27.448","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                           ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                         ,""
"52" ,"" ,"UTC 11/01/2014 08:51:46.336","Notice"  ,"Network Access","TCP connection dropped"                               ,"78.205.45.149, 50922, X1, sgc91-6-78-205-45-149.fbx.proxad.net","173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                             ,""
"53" ,"" ,"UTC 11/01/2014 08:51:57.768","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 55597, X1"                                     ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"54" ,"" ,"UTC 11/01/2014 08:52:07.864","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                   ,"172.30.51.1, 1836, X0"                       ,"Port:  1836"                                                                                                             ,""
"55" ,"" ,"UTC 11/01/2014 08:52:57.768","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 55613, X1"                                     ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"56" ,"" ,"UTC 11/01/2014 08:53:07.784","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                 ,"172.30.51.1, 1838, X0"                       ,"Port:  1838"                                                                                                             ,""
"57" ,"" ,"UTC 11/01/2014 08:53:09.176","Notice"  ,"Network Access","UDP packet dropped"                                   ,"5.14.33.107, 49943, X1, 5-14-33-107.residential.rdsnet.ro"     ,"173.240.220.68, 20475, X1"                   ,"Port: 20475"                                                                                                             ,""
"58" ,"" ,"UTC 11/01/2014 08:53:34.944","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                           ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                         ,""
"59" ,"" ,"UTC 11/01/2014 08:53:57.768","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 55630, X1"                                     ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"60" ,"" ,"UTC 11/01/2014 08:54:07.784","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                    ,"172.30.51.1, 1843, X0"                       ,"Port:  1843"                                                                                                             ,""
"61" ,"" ,"UTC 11/01/2014 08:54:27.768","Notice"  ,"Network Access","UDP packet dropped"                                   ,"151.15.58.147, 23318, X1, ppp-147-58.15-151.iol.it"            ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                             ,""
"62" ,"" ,"UTC 11/01/2014 08:54:31.816","Notice"  ,"Network Access","TCP connection dropped"                               ,"151.15.58.147, 59994, X1, ppp-147-58.15-151.iol.it"            ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                             ,""
"63" ,"" ,"UTC 11/01/2014 08:54:57.768","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 55644, X1"                                     ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"64" ,"" ,"UTC 11/01/2014 08:55:07.784","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                    ,"172.30.51.1, 1846, X0"                       ,"Port:  1846"                                                                                                             ,""
"65" ,"" ,"UTC 11/01/2014 08:55:54.384","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                           ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                         ,""
"66" ,"" ,"UTC 11/01/2014 08:55:56.080","Notice"  ,"Network Access","UDP packet dropped"                                   ,"173.240.220.50, 43670, X1"                                     ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                          ,""
"67" ,"" ,"UTC 11/01/2014 08:55:57.768","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 55662, X1"                                     ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"68" ,"" ,"UTC 11/01/2014 08:56:07.784","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                 ,"172.30.51.1, 1853, X0"                       ,"Port:  1853"                                                                                                             ,""
"69" ,"" ,"UTC 11/01/2014 08:57:02.240","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                           ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                         ,""
"70" ,"" ,"UTC 11/01/2014 08:57:03.224","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 55680, X1"                                     ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"71" ,"" ,"UTC 11/01/2014 08:57:07.784","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                    ,"172.30.51.1, 1855, X0"                       ,"Port:  1855"                                                                                                             ,""
"72" ,"" ,"UTC 11/01/2014 08:57:29.192","Notice"  ,"Network Access","UDP packet dropped"                                   ,"5.14.33.107, 50057, X1, 5-14-33-107.residential.rdsnet.ro"     ,"173.240.220.68, 20475, X1"                   ,"Port: 20475"                                                                                                             ,""
"73" ,"" ,"UTC 11/01/2014 08:57:29.192","Notice"  ,"Network Access","TCP connection dropped"                               ,"5.14.33.107, 50444, X1, 5-14-33-107.residential.rdsnet.ro"     ,"173.240.220.68, 20475, X1"                   ,"Port: 20475"                                                                                                             ,""
"74" ,"" ,"UTC 11/01/2014 08:58:03.240","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 55703, X1"                                     ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
