"#"  ," ","Time"                       ,"Priority","Category"      ,"Message"                                              ,"Source"                                                                       ,"Destination"                                 ,"Notes"                                                                                                                    ,"Rule"
"1"  ,"" ,"UTC 11/01/2014 09:13:27.800","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                                  ,"172.30.51.1, 1917, X0"                       ,"Port:  1917"                                                                                                              ,""
"2"  ,"" ,"UTC 11/01/2014 09:13:39.512","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                          ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                          ,""
"3"  ,"" ,"UTC 11/01/2014 09:13:44.176","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                                           ,"172.30.2.5, 3, X0, complab-ad.complab.eng"   ,"ICMP Destination Unreachable, Code: 3"                                                                                    ,""
"4"  ,"" ,"UTC 11/01/2014 09:14:03.368","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 55975, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"5"  ,"" ,"UTC 11/01/2014 09:14:12.000","Notice"  ,"Network Access","UDP packet dropped"                                   ,"173.240.220.50, 55919, X1"                                                    ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                           ,""
"6"  ,"" ,"UTC 11/01/2014 09:14:27.800","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                                ,"172.30.51.1, 1922, X0"                       ,"Port:  1922"                                                                                                              ,""
"7"  ,"" ,"UTC 11/01/2014 09:15:03.368","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 55990, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"8"  ,"" ,"UTC 11/01/2014 09:15:27.800","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                                   ,"172.30.51.1, 1924, X0"                       ,"Port:  1924"                                                                                                              ,""
"9"  ,"" ,"UTC 11/01/2014 09:15:29.448","Notice"  ,"Network Access","UDP packet dropped"                                   ,"39.50.176.5, 55714, X1"                                                       ,"173.240.220.68, 20475, X1"                   ,"Port: 20475"                                                                                                              ,""
"10" ,"" ,"UTC 11/01/2014 09:16:03.384","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 56007, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"11" ,"" ,"UTC 11/01/2014 09:16:27.800","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                                ,"172.30.51.1, 1928, X0"                       ,"Port:  1928"                                                                                                              ,""
"12" ,"" ,"UTC 11/01/2014 09:17:03.384","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 56025, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"13" ,"" ,"UTC 11/01/2014 09:17:06.768","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                          ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                          ,""
"14" ,"" ,"UTC 11/01/2014 09:17:18.688","Notice"  ,"Network Access","UDP packet dropped"                                   ,"173.240.220.50, 33137, X1"                                                    ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                           ,""
"15" ,"" ,"UTC 11/01/2014 09:17:27.800","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                                  ,"172.30.51.1, 1932, X0"                       ,"Port:  1932"                                                                                                              ,""
"16" ,"" ,"UTC 11/01/2014 09:18:03.400","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 56039, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"17" ,"" ,"UTC 11/01/2014 09:18:21.000","Notice"  ,"Network Access","UDP packet dropped"                                   ,"173.240.220.50, 47874, X1"                                                    ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                           ,""
