"#"  ," ","Time"                       ,"Priority","Category"      ,"Message"                       ,"Source"                                                                       ,"Destination"                                 ,"Notes"                                ,"Rule"
"1"  ,"" ,"UTC 11/01/2014 09:49:03.624","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 56585, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"2"  ,"" ,"UTC 11/01/2014 09:49:05.912","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                          ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"3"  ,"" ,"UTC 11/01/2014 09:49:22.624","Notice"  ,"Network Access","UDP packet dropped"            ,"173.240.220.50, 57187, X1"                                                    ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                       ,""
"4"  ,"" ,"UTC 11/01/2014 09:49:27.800","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 56592, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"5"  ,"" ,"UTC 11/01/2014 09:49:27.816","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                                  ,"172.30.51.1, 2062, X0"                       ,"Port:  2062"                          ,""
"6"  ,"" ,"UTC 11/01/2014 09:49:33.240","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                                   ,"172.30.51.1, 2063, X0"                       ,"Port:  2063"                          ,""
"7"  ,"" ,"UTC 11/01/2014 09:50:03.640","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 56603, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"8"  ,"" ,"UTC 11/01/2014 09:50:24.032","Notice"  ,"Network Access","TCP connection dropped"        ,"46.173.12.74, 57956, X1"                                                      ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"9"  ,"" ,"UTC 11/01/2014 09:50:24.032","Notice"  ,"Network Access","UDP packet dropped"            ,"46.173.12.74, 4780, X1"                                                       ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"10" ,"" ,"UTC 11/01/2014 09:51:03.640","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 56619, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"11" ,"" ,"UTC 11/01/2014 09:51:06.160","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                                ,"172.30.51.1, 2067, X0"                       ,"Port:  2067"                          ,""
"12" ,"" ,"UTC 11/01/2014 09:51:37.608","Notice"  ,"Network Access","TCP connection dropped"        ,"122.170.30.247, 12944, X1, abts-mum-dynamic-247.30.170.122.airtelbroadband.in","173.240.220.68, 20475, X1"                   ,"Port: 20475"                          ,""
"13" ,"" ,"UTC 11/01/2014 09:51:46.112","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                          ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"14" ,"" ,"UTC 11/01/2014 09:52:07.800","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 56641, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"15" ,"" ,"UTC 11/01/2014 09:52:07.816","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                                  ,"172.30.51.1, 2071, X0"                       ,"Port:  2071"                          ,""
"16" ,"" ,"UTC 11/01/2014 09:52:18.208","Notice"  ,"Network Access","UDP packet dropped"            ,"173.240.220.50, 41078, X1"                                                    ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                       ,""
"17" ,"" ,"UTC 11/01/2014 09:52:58.048","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                          ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"18" ,"" ,"UTC 11/01/2014 09:53:07.800","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 56656, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"19" ,"" ,"UTC 11/01/2014 09:53:22.496","Info"    ,"Network Access","DNS packet allowed"            ,"4.2.2.3, 53, X1, c.resolvers.level3.net"                                      ,"173.240.220.68, 1024, X1"                    ,"Port:  1024"                          ,""
"20" ,"" ,"UTC 11/01/2014 09:53:31.432","Notice"  ,"Network Access","TCP connection dropped"        ,"122.170.30.247, 13586, X1, abts-mum-dynamic-247.30.170.122.airtelbroadband.in","173.240.220.68, 20475, X1"                   ,"Port: 20475"                          ,""
"21" ,"" ,"UTC 11/01/2014 09:53:46.064","Notice"  ,"Network Access","UDP packet dropped"            ,"46.146.36.45, 31066, X1, net36-45.perm.ertelecom.ru"                          ,"173.240.220.68, 20475, X1"                   ,"Port: 20475"                          ,""
"22" ,"" ,"UTC 11/01/2014 09:53:46.368","Info"    ,"Network Access","ICMP packet from LAN allowed"  ,"172.30.51.1, 3, X0"                                                           ,"172.30.2.5, 3, X0, complab-ad.complab.eng"   ,"ICMP Destination Unreachable, Code: 3",""
"23" ,"" ,"UTC 11/01/2014 09:54:07.816","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 56681, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"24" ,"" ,"UTC 11/01/2014 09:54:09.768","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                          ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"25" ,"" ,"UTC 11/01/2014 09:54:27.816","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                                  ,"172.30.51.1, 2080, X0"                       ,"Port:  2080"                          ,""
"26" ,"" ,"UTC 11/01/2014 09:55:02.032","Notice"  ,"Network Access","UDP packet dropped"            ,"46.173.12.74, 4780, X1"                                                       ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"27" ,"" ,"UTC 11/01/2014 09:55:02.032","Notice"  ,"Network Access","TCP connection dropped"        ,"46.173.12.74, 59135, X1"                                                      ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"28" ,"" ,"UTC 11/01/2014 09:55:07.800","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 56703, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"29" ,"" ,"UTC 11/01/2014 09:55:26.272","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                          ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"30" ,"" ,"UTC 11/01/2014 09:55:27.816","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                                  ,"172.30.51.1, 2083, X0"                       ,"Port:  2083"                          ,""
"31" ,"" ,"UTC 11/01/2014 09:56:07.816","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 56721, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"32" ,"" ,"UTC 11/01/2014 09:56:27.176","Notice"  ,"Network Access","UDP packet dropped"            ,"173.240.220.50, 58062, X1"                                                    ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                       ,""
"33" ,"" ,"UTC 11/01/2014 09:56:27.832","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                                  ,"172.30.51.1, 2089, X0"                       ,"Port:  2089"                          ,""
"34" ,"" ,"UTC 11/01/2014 09:56:40.320","Notice"  ,"Network Access","TCP connection dropped"        ,"210.211.31.202, 33198, X1"                                                    ,"173.240.220.68, 22, X1"                      ,"SSH"                                  ,""
"35" ,"" ,"UTC 11/01/2014 09:56:44.512","Info"    ,"Network Access","ICMP packet from LAN allowed"  ,"172.30.51.1, 3, X0"                                                           ,"172.30.2.5, 3, X0, complab-ad.complab.eng"   ,"ICMP Destination Unreachable, Code: 3",""
"36" ,"" ,"UTC 11/01/2014 09:57:07.816","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 56737, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"37" ,"" ,"UTC 11/01/2014 09:57:08.416","Notice"  ,"Network Access","TCP connection dropped"        ,"37.146.133.188, 2343, X1, 37-146-133-188.broadband.corbina.ru"                ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"38" ,"" ,"UTC 11/01/2014 09:57:15.816","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                          ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"39" ,"" ,"UTC 11/01/2014 09:57:27.896","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                                ,"172.30.51.1, 2094, X0"                       ,"Port:  2094"                          ,""
"40" ,"" ,"UTC 11/01/2014 09:58:07.816","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 56754, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"41" ,"" ,"UTC 11/01/2014 09:58:20.576","Notice"  ,"Network Access","TCP connection dropped"        ,"122.170.30.247, 13997, X1, abts-mum-dynamic-247.30.170.122.airtelbroadband.in","173.240.220.68, 20475, X1"                   ,"Port: 20475"                          ,""
"42" ,"" ,"UTC 11/01/2014 09:58:27.832","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                                ,"172.30.51.1, 2097, X0"                       ,"Port:  2097"                          ,""
"43" ,"" ,"UTC 11/01/2014 09:58:43.416","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                          ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"44" ,"" ,"UTC 11/01/2014 09:59:07.816","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 56777, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"45" ,"" ,"UTC 11/01/2014 09:59:13.848","Notice"  ,"Network Access","UDP packet dropped"            ,"173.240.220.50, 36500, X1"                                                    ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                       ,""
