"#" ," ","Time"                       ,"Priority","Category"      ,"Message"                       ,"Source"                                                          ,"Destination"                                 ,"Notes"                                ,"Rule"
"1" ,"" ,"UTC 11/01/2014 10:20:17.832","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                   ,"172.30.51.1, 2195, X0"                       ,"Port:  2195"                          ,""
"2" ,"" ,"UTC 11/01/2014 10:20:27.816","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 57144, X1"                                       ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"3" ,"" ,"UTC 11/01/2014 10:21:17.832","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                      ,"172.30.51.1, 2197, X0"                       ,"Port:  2197"                          ,""
"4" ,"" ,"UTC 11/01/2014 10:21:26.560","Notice"  ,"Network Access","UDP packet dropped"            ,"173.240.220.50, 49238, X1"                                       ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                       ,""
"5" ,"" ,"UTC 11/01/2014 10:21:27.832","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 57160, X1"                                       ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"6" ,"" ,"UTC 11/01/2014 10:21:32.720","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                             ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"7" ,"" ,"UTC 11/01/2014 10:22:17.848","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                   ,"172.30.51.1, 2201, X0"                       ,"Port:  2201"                          ,""
"8" ,"" ,"UTC 11/01/2014 10:22:27.832","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 57178, X1"                                       ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"9" ,"" ,"UTC 11/01/2014 10:22:46.016","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                             ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"10","" ,"UTC 11/01/2014 10:23:20.592","Notice"  ,"Network Access","UDP packet dropped"            ,"78.237.190.194, 14124, X1, muy83-2-78-237-190-194.fbx.proxad.net","173.240.220.68, 30527, X1"                   ,"Port: 30527"                          ,""
"11","" ,"UTC 11/01/2014 10:23:22.496","Info"    ,"Network Access","DNS packet allowed"            ,"4.2.2.3, 53, X1, c.resolvers.level3.net"                         ,"173.240.220.68, 1024, X1"                    ,"Port:  1024"                          ,""
"12","" ,"UTC 11/01/2014 10:23:27.832","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 57192, X1"                                       ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"13","" ,"UTC 11/01/2014 10:23:30.928","Info"    ,"Network Access","ICMP packet from LAN allowed"  ,"172.30.51.1, 3, X0"                                              ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3",""
"14","" ,"UTC 11/01/2014 10:24:07.704","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                             ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
