"#"  ," ","Time"                       ,"Priority","Category"        ,"Message"                                              ,"Source"                                                                ,"Destination"                                 ,"Notes"                                                                                                               ,"Rule"
"1"  ,"" ,"UTC 11/01/2014 10:24:08.144","Info"    ,"Firewall Logging","Log successfully sent via email"                      ,""                                                                      ,""                                            ,""                                                                                                                    ,""
"2"  ,"" ,"UTC 11/01/2014 10:24:15.656","Notice"  ,"Network Access"  ,"TCP connection dropped"                               ,"222.187.222.231, 58199, X1"                                            ,"173.240.220.68, 8080, X1"                    ,"Tivo TCP Data"                                                                                                       ,""
"3"  ,"" ,"UTC 11/01/2014 10:24:27.832","Notice"  ,"Network Access"  ,"Web management request allowed"                       ,"216.255.240.34, 57212, X1"                                             ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                            ,""
"4"  ,"" ,"UTC 11/01/2014 10:24:27.848","Info"    ,"Network Access"  ,"DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                           ,"172.30.51.1, 2272, X0"                       ,"Port:  2272"                                                                                                         ,""
"5"  ,"" ,"UTC 11/01/2014 10:24:31.624","Notice"  ,"Network Access"  ,"UDP packet dropped"                                   ,"103.227.97.220, 11383, X1"                                             ,"173.240.220.68, 20475, X1"                   ,"Port: 20475"                                                                                                         ,""
"6"  ,"" ,"UTC 11/01/2014 10:25:25.208","Notice"  ,"Network Access"  ,"UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                   ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                     ,""
"7"  ,"" ,"UTC 11/01/2014 10:25:27.832","Notice"  ,"Network Access"  ,"Web management request allowed"                       ,"216.255.240.34, 57226, X1"                                             ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                            ,""
"8"  ,"" ,"UTC 11/01/2014 10:25:27.848","Info"    ,"Network Access"  ,"DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                         ,"172.30.51.1, 2277, X0"                       ,"Port:  2277"                                                                                                         ,""
"9"  ,"" ,"UTC 11/01/2014 10:26:26.912","Notice"  ,"Network Access"  ,"UDP packet dropped"                                   ,"81.34.96.97, 11738, X1, 97.red-81-34-96.dynamicip.rima-tde.net"        ,"173.240.220.68, 10573, X1"                   ,"Port: 10573"                                                                                                         ,""
"10" ,"" ,"UTC 11/01/2014 10:26:27.464","Notice"  ,"Network Access"  ,"UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                   ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                     ,""
"11" ,"" ,"UTC 11/01/2014 10:26:27.912","Info"    ,"Network Access"  ,"DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                           ,"172.30.51.1, 2281, X0"                       ,"Port:  2281"                                                                                                         ,""
"12" ,"" ,"UTC 11/01/2014 10:26:33.912","Notice"  ,"Network Access"  ,"Web management request allowed"                       ,"216.255.240.34, 57242, X1"                                             ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                            ,""
