"#"  ," ","Time"                       ,"Priority","Category"      ,"Message"                       ,"Source"                                                                            ,"Destination"                                 ,"Notes"                                ,"Rule"
"1"  ,"" ,"UTC 11/01/2014 10:58:47.832","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 57790, X1"                                                         ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"2"  ,"" ,"UTC 11/01/2014 10:59:03.336","Notice"  ,"Network Access","UDP packet dropped"            ,"176.42.14.195, 61192, X1, host-176-42-14-195.reverse.superonline.net"              ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"3"  ,"" ,"UTC 11/01/2014 10:59:34.208","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                                        ,"172.30.51.1, 2414, X0"                       ,"Port:  2414"                          ,""
"4"  ,"" ,"UTC 11/01/2014 10:59:47.832","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 57804, X1"                                                         ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"5"  ,"" ,"UTC 11/01/2014 11:00:32.944","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                               ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"6"  ,"" ,"UTC 11/01/2014 11:00:47.832","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 57823, X1"                                                         ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"7"  ,"" ,"UTC 11/01/2014 11:00:49.928","Notice"  ,"Network Access","UDP packet dropped"            ,"71.84.218.146, 19855, X1, 71-84-218-146.dhcp.ccmn.ca.charter.com"                  ,"173.240.220.68, 25091, X1"                   ,"Port: 25091"                          ,""
"8"  ,"" ,"UTC 11/01/2014 11:00:49.944","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                                       ,"172.30.51.1, 2419, X0"                       ,"Port:  2419"                          ,""
"9"  ,"" ,"UTC 11/01/2014 11:01:41.784","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                               ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"10" ,"" ,"UTC 11/01/2014 11:01:47.832","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 57843, X1"                                                         ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"11" ,"" ,"UTC 11/01/2014 11:01:50.608","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                                     ,"172.30.51.1, 2424, X0"                       ,"Port:  2424"                          ,""
"12" ,"" ,"UTC 11/01/2014 11:02:15.816","Notice"  ,"Network Access","UDP packet dropped"            ,"173.240.220.50, 42753, X1"                                                         ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                       ,""
"13" ,"" ,"UTC 11/01/2014 11:02:47.832","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 57859, X1"                                                         ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"14" ,"" ,"UTC 11/01/2014 11:02:55.096","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                               ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"15" ,"" ,"UTC 11/01/2014 11:03:08.432","Info"    ,"Network Access","DNS packet allowed"            ,"4.2.2.3, 53, X1, c.resolvers.level3.net"                                           ,"173.240.220.68, 1024, X1"                    ,"Port:  1024"                          ,""
"16" ,"" ,"UTC 11/01/2014 11:03:47.832","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 57878, X1"                                                         ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"17" ,"" ,"UTC 11/01/2014 11:04:11.784","Notice"  ,"Network Access","UDP packet dropped"            ,"173.240.220.50, 59882, X1"                                                         ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                       ,""
"18" ,"" ,"UTC 11/01/2014 11:04:11.800","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                                        ,"172.30.51.1, 2429, X0"                       ,"Port:  2429"                          ,""
"19" ,"" ,"UTC 11/01/2014 11:04:15.800","Info"    ,"Network Access","ICMP packet from LAN allowed"  ,"172.30.51.1, 3, X0"                                                                ,"172.30.2.6, 3, X0, complab-bdc.complab.eng"  ,"ICMP Destination Unreachable, Code: 3",""
"20" ,"" ,"UTC 11/01/2014 11:04:16.784","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                               ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
