"#"  ," ","Time"                       ,"Priority","Category"      ,"Message"                                              ,"Source"                                                      ,"Destination"                                 ,"Notes"                                                                                                                 ,"Rule"
"1"  ,"" ,"UTC 11/01/2014 11:33:47.848","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 58380, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"2"  ,"" ,"UTC 11/01/2014 11:34:17.864","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                  ,"172.30.51.1, 2555, X0"                       ,"Port:  2555"                                                                                                           ,""
"3"  ,"" ,"UTC 11/01/2014 11:34:23.624","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                         ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                       ,""
"4"  ,"" ,"UTC 11/01/2014 11:34:36.832","Notice"  ,"Network Access","UDP packet dropped"                                   ,"95.52.204.135, 58926, X1"                                    ,"173.240.220.68, 25091, X1"                   ,"Port: 25091"                                                                                                           ,""
"5"  ,"" ,"UTC 11/01/2014 11:34:47.848","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 58394, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"6"  ,"" ,"UTC 11/01/2014 11:34:57.848","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 58397, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"7"  ,"" ,"UTC 11/01/2014 11:35:07.144","Notice"  ,"Network Access","UDP packet dropped"                                   ,"95.52.204.135, 58926, X1"                                    ,"173.240.220.68, 25091, X1"                   ,"Port: 25091"                                                                                                           ,""
"8"  ,"" ,"UTC 11/01/2014 11:35:17.864","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                  ,"172.30.51.1, 2558, X0"                       ,"Port:  2558"                                                                                                           ,""
"9"  ,"" ,"UTC 11/01/2014 11:35:47.864","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 58409, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"10" ,"" ,"UTC 11/01/2014 11:36:13.208","Notice"  ,"Network Access","UDP packet dropped"                                   ,"173.240.220.50, 39675, X1"                                   ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                        ,""
"11" ,"" ,"UTC 11/01/2014 11:36:17.864","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                 ,"172.30.51.1, 2563, X0"                       ,"Port:  2563"                                                                                                           ,""
"12" ,"" ,"UTC 11/01/2014 11:36:24.096","Notice"  ,"Network Access","TCP connection dropped"                               ,"85.25.43.94, 26970, X1, rim.census.shodan.io"                ,"173.240.220.68, 19, X1"                      ,"Port:    19"                                                                                                           ,""
