"#"  ," ","Time"                       ,"Priority","Category"      ,"Message"                                              ,"Source"                                                      ,"Destination"                                 ,"Notes"                                                                                                                    ,"Rule"
"1"  ,"" ,"UTC 11/01/2014 12:10:49.752","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 59061, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"2"  ,"" ,"UTC 11/01/2014 12:10:51.544","Notice"  ,"Network Access","UDP packet dropped"                                   ,"173.240.220.50, 48280, X1"                                   ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                           ,""
"3"  ,"" ,"UTC 11/01/2014 12:11:17.896","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                 ,"172.30.51.1, 2687, X0"                       ,"Port:  2687"                                                                                                              ,""
"4"  ,"" ,"UTC 11/01/2014 12:11:24.112","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                         ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                          ,""
"5"  ,"" ,"UTC 11/01/2014 12:11:49.752","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 59082, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"6"  ,"" ,"UTC 11/01/2014 12:12:18.144","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"               ,"172.30.51.1, 2689, X0"                       ,"Port:  2689"                                                                                                              ,""
"7"  ,"" ,"UTC 11/01/2014 12:12:28.800","Notice"  ,"Network Access","TCP connection dropped"                               ,"192.126.120.49, 9090, X1"                                    ,"173.240.220.68, 22, X1"                      ,"SSH"                                                                                                                      ,""
"8"  ,"" ,"UTC 11/01/2014 12:12:39.768","Notice"  ,"Network Access","UDP packet dropped"                                   ,"186.218.117.162, 1028, X1, 186-218-117-162.viacaboip.com.br" ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                              ,""
"9"  ,"" ,"UTC 11/01/2014 12:12:49.752","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 59102, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"10" ,"" ,"UTC 11/01/2014 12:12:50.448","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                         ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                          ,""
"11" ,"" ,"UTC 11/01/2014 12:13:06.720","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                          ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3"                                                                                    ,""
"12" ,"" ,"UTC 11/01/2014 12:13:17.896","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                 ,"172.30.51.1, 2693, X0"                       ,"Port:  2693"                                                                                                              ,""
"13" ,"" ,"UTC 11/01/2014 12:13:49.768","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 59125, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"14" ,"" ,"UTC 11/01/2014 12:14:17.896","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"               ,"172.30.51.1, 2695, X0"                       ,"Port:  2695"                                                                                                              ,""
"15" ,"" ,"UTC 11/01/2014 12:14:19.384","Notice"  ,"Network Access","UDP packet dropped"                                   ,"173.240.220.50, 55953, X1"                                   ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                           ,""
"16" ,"" ,"UTC 11/01/2014 12:14:32.704","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                         ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                          ,""
"17" ,"" ,"UTC 11/01/2014 12:14:42.384","Notice"  ,"Network Access","TCP connection dropped"                               ,"154.104.140.209, 2306, X1"                                   ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                              ,""
"18" ,"" ,"UTC 11/01/2014 12:14:49.768","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 59141, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"19" ,"" ,"UTC 11/01/2014 12:15:49.784","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 59155, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"20" ,"" ,"UTC 11/01/2014 12:15:49.800","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"               ,"172.30.51.1, 2701, X0"                       ,"Port:  2701"                                                                                                              ,""
"21" ,"" ,"UTC 11/01/2014 12:16:39.624","Notice"  ,"Network Access","TCP connection dropped"                               ,"111.73.46.249, 6000, X1"                                     ,"173.240.220.68, 1433, X1"                    ,"MS SQL"                                                                                                                   ,""
"22" ,"" ,"UTC 11/01/2014 12:16:49.800","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"               ,"172.30.51.1, 2704, X0"                       ,"Port:  2704"                                                                                                              ,""
"23" ,"" ,"UTC 11/01/2014 12:16:53.560","Notice"  ,"Network Access","Web management request allowed"                       ,"204.212.170.10, 56915, X1, snwlhosted.com"                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"24" ,"" ,"UTC 11/01/2014 12:17:22.928","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                         ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                          ,""
"25" ,"" ,"UTC 11/01/2014 12:17:47.224","Notice"  ,"Network Access","UDP packet dropped"                                   ,"173.240.220.50, 44592, X1"                                   ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                           ,""
"26" ,"" ,"UTC 11/01/2014 12:17:49.816","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                 ,"172.30.51.1, 2708, X0"                       ,"Port:  2708"                                                                                                              ,""
