"#"  ," ","Time"                       ,"Priority","Category"      ,"Message"                       ,"Source"                                                              ,"Destination"                                 ,"Notes"                                ,"Rule"
"1"  ,"" ,"UTC 11/01/2014 12:46:50.064","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                          ,"172.30.51.1, 2824, X0"                       ,"Port:  2824"                          ,""
"2"  ,"" ,"UTC 11/01/2014 12:47:07.880","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 59673, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"3"  ,"" ,"UTC 11/01/2014 12:47:10.448","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"4"  ,"" ,"UTC 11/01/2014 12:47:22.928","Info"    ,"Network Access","ICMP packet from LAN allowed"  ,"172.30.51.1, 3, X0"                                                  ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3",""
"5"  ,"" ,"UTC 11/01/2014 12:47:50.064","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                          ,"172.30.51.1, 2830, X0"                       ,"Port:  2830"                          ,""
"6"  ,"" ,"UTC 11/01/2014 12:48:07.880","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 59687, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"7"  ,"" ,"UTC 11/01/2014 12:48:08.640","Notice"  ,"Network Access","TCP connection dropped"        ,"71.6.167.142, 48457, X1, census9.shodan.io"                          ,"173.240.220.68, 2067, X1"                    ,"RPC Services"                         ,""
"8"  ,"" ,"UTC 11/01/2014 12:48:50.080","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                          ,"172.30.51.1, 2833, X0"                       ,"Port:  2833"                          ,""
"9"  ,"" ,"UTC 11/01/2014 12:48:57.656","Notice"  ,"Network Access","UDP packet dropped"            ,"173.240.220.50, 39146, X1"                                           ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                       ,""
"10" ,"" ,"UTC 11/01/2014 12:49:07.880","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 59701, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"11" ,"" ,"UTC 11/01/2014 12:49:18.720","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"12" ,"" ,"UTC 11/01/2014 12:49:50.080","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                       ,"172.30.51.1, 2837, X0"                       ,"Port:  2837"                          ,""
"13" ,"" ,"UTC 11/01/2014 12:50:07.880","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 59717, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"14" ,"" ,"UTC 11/01/2014 12:50:07.912","Notice"  ,"Network Access","UDP packet dropped"            ,"79.165.94.199, 40520, X1"                                            ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"15" ,"" ,"UTC 11/01/2014 12:50:08.224","Info"    ,"Network Access","ICMP packet from LAN allowed"  ,"172.30.51.1, 3, X0"                                                  ,"172.30.2.6, 3, X0, complab-bdc.complab.eng"  ,"ICMP Destination Unreachable, Code: 3",""
"16" ,"" ,"UTC 11/01/2014 12:50:17.896","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                       ,"172.30.51.1, 2840, X0"                       ,"Port:  2840"                          ,""
"17" ,"" ,"UTC 11/01/2014 12:51:04.944","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                       ,"172.30.51.1, 2843, X0"                       ,"Port:  2843"                          ,""
"18" ,"" ,"UTC 11/01/2014 12:51:17.880","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 59733, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"19" ,"" ,"UTC 11/01/2014 12:51:18.752","Notice"  ,"Network Access","TCP connection dropped"        ,"109.175.48.124, 10299, X1"                                           ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"20" ,"" ,"UTC 11/01/2014 12:51:18.752","Notice"  ,"Network Access","UDP packet dropped"            ,"109.175.48.124, 29686, X1"                                           ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"21" ,"" ,"UTC 11/01/2014 12:51:44.160","Info"    ,"Network Access","ICMP packet from LAN allowed"  ,"172.30.51.1, 3, X0"                                                  ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3",""
"22" ,"" ,"UTC 11/01/2014 12:52:06.784","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"23" ,"" ,"UTC 11/01/2014 12:52:17.880","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 59749, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"24" ,"" ,"UTC 11/01/2014 12:52:17.896","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                          ,"172.30.51.1, 2848, X0"                       ,"Port:  2848"                          ,""
"25" ,"" ,"UTC 11/01/2014 12:52:22.704","Notice"  ,"Network Access","UDP packet dropped"            ,"201.86.172.74, 13226, X1, 201.86.172.74.dynamic.adsl.gvt.net.br"     ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"26" ,"" ,"UTC 11/01/2014 12:52:53.944","Notice"  ,"Network Access","TCP connection dropped"        ,"24.28.185.51, 51233, X1, cpe-24-28-185-51.elp.res.rr.com"            ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"27" ,"" ,"UTC 11/01/2014 12:53:12.160","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"28" ,"" ,"UTC 11/01/2014 12:53:17.880","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 59763, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"29" ,"" ,"UTC 11/01/2014 12:53:17.896","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                          ,"172.30.51.1, 2854, X0"                       ,"Port:  2854"                          ,""
"30" ,"" ,"UTC 11/01/2014 12:54:17.880","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 59781, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"31" ,"" ,"UTC 11/01/2014 12:54:17.896","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                         ,"172.30.51.1, 2856, X0"                       ,"Port:  2856"                          ,""
"32" ,"" ,"UTC 11/01/2014 12:54:42.000","Notice"  ,"Network Access","UDP packet dropped"            ,"24.28.185.51, 44140, X1, cpe-24-28-185-51.elp.res.rr.com"            ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"33" ,"" ,"UTC 11/01/2014 12:54:42.000","Notice"  ,"Network Access","TCP connection dropped"        ,"24.28.185.51, 51527, X1, cpe-24-28-185-51.elp.res.rr.com"            ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"34" ,"" ,"UTC 11/01/2014 12:54:42.112","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"35" ,"" ,"UTC 11/01/2014 12:55:17.896","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 59795, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"36" ,"" ,"UTC 11/01/2014 12:55:17.912","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                       ,"172.30.51.1, 2858, X0"                       ,"Port:  2858"                          ,""
"37" ,"" ,"UTC 11/01/2014 12:55:53.320","Notice"  ,"Network Access","UDP packet dropped"            ,"173.240.220.50, 53041, X1"                                           ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                       ,""
"38" ,"" ,"UTC 11/01/2014 12:55:53.640","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"39" ,"" ,"UTC 11/01/2014 12:56:17.896","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 59809, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
