"#"  ," ","Time"                       ,"Priority","Category"      ,"Message"                                              ,"Source"                                                              ,"Destination"                                 ,"Notes"                                                                                                                 ,"Rule"
"1"  ,"" ,"UTC 11/01/2014 13:20:08.032","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                          ,"172.30.51.1, 2959, X0"                       ,"Port:  2959"                                                                                                           ,""
"2"  ,"" ,"UTC 11/01/2014 13:20:21.288","Notice"  ,"Network Access","Web management request allowed"                       ,"204.212.170.10, 38649, X1, snwlhosted.com"                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"3"  ,"" ,"UTC 11/01/2014 13:20:37.896","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 44004, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"4"  ,"" ,"UTC 11/01/2014 13:20:50.224","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                          ,"172.30.51.1, 2962, X0"                       ,"Port:  2962"                                                                                                           ,""
"5"  ,"" ,"UTC 11/01/2014 13:21:16.464","Notice"  ,"Network Access","TCP connection dropped"                               ,"154.104.148.253, 1773, X1"                                           ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                           ,""
"6"  ,"" ,"UTC 11/01/2014 13:21:16.480","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                       ,"172.30.51.1, 2963, X0"                       ,"Port:  2963"                                                                                                           ,""
"7"  ,"" ,"UTC 11/01/2014 13:21:37.912","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 44047, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"8"  ,"" ,"UTC 11/01/2014 13:22:13.608","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                       ,""
"9"  ,"" ,"UTC 11/01/2014 13:22:18.192","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                         ,"172.30.51.1, 2967, X0"                       ,"Port:  2967"                                                                                                           ,""
"10" ,"" ,"UTC 11/01/2014 13:22:18.192","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                                  ,"172.30.2.6, 3, X0, complab-bdc.complab.eng"  ,"ICMP Destination Unreachable, Code: 3"                                                                                 ,""
"11" ,"" ,"UTC 11/01/2014 13:22:37.912","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 44063, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"12" ,"" ,"UTC 11/01/2014 13:23:08.864","Notice"  ,"Network Access","UDP packet dropped"                                   ,"173.240.220.50, 36565, X1"                                           ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                        ,""
"13" ,"" ,"UTC 11/01/2014 13:23:22.416","Info"    ,"Network Access","DNS packet allowed"                                   ,"4.2.2.3, 53, X1, c.resolvers.level3.net"                             ,"173.240.220.68, 1024, X1"                    ,"Port:  1024"                                                                                                           ,""
"14" ,"" ,"UTC 11/01/2014 13:23:37.912","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 44077, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"15" ,"" ,"UTC 11/01/2014 13:23:48.656","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                       ,""
