"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","24.6.173.220","75.75.75.75","DNS","74","Standard query 0x5285  A www.sfgate.com"
"2","0.012983000","75.75.75.75","24.6.173.220","DNS","132","Standard query response 0x5285  CNAME orig-10034.hearst.cotcdn.net A 208.93.137.180"
"3","0.014193000","24.6.173.220","75.75.75.75","DNS","74","Standard query 0x30b7  AAAA www.sfgate.com"
"4","0.034265000","75.75.75.75","24.6.173.220","DNS","175","Standard query response 0x30b7  CNAME orig-10034.hearst.cotcdn.net"
"5","0.035587000","24.6.173.220","208.93.137.180","TCP","66","10615 > 80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"6","0.053914000","208.93.137.180","24.6.173.220","TCP","66","80 > 10615 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"7","0.054046000","24.6.173.220","208.93.137.180","TCP","54","10615 > 80 [ACK] Seq=1 Ack=1 Win=65700 Len=0"
"8","0.054566000","24.6.173.220","208.93.137.180","HTTP","549","GET /feedback/ HTTP/1.1 "
"9","0.075760000","208.93.137.180","24.6.173.220","TCP","60","80 > 10615 [ACK] Seq=1 Ack=496 Win=6912 Len=0"
"10","0.198335000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"11","0.200520000","208.93.137.180","24.6.173.220","TCP","1514","[TCP segment of a reassembled PDU]"
"12","0.202180000","24.6.173.220","208.93.137.180","TCP","54","10615 > 80 [ACK] Seq=496 Ack=2921 Win=65700 Len=0"
"13","0.228194000","24.6.173.220","208.93.137.180","TCP","66","10616 > 80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"14","0.229065000","24.6.173.220","208.93.137.180","TCP","66","10617 > 80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"15","0.229307000","24.6.173.220","208.93.137.180","TCP","66","10618 > 80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"16","0.229807000","24.6.173.220","75.75.75.75","DNS","76","Standard query 0xbb19  A aps.hearstnp.com"
"17","0.229919000","24.6.173.220","208.93.137.180","TCP","66","10619 > 80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
