Time,Source,Destination,Protocol,TotalLength
0,208.93.137.180,24.6.173.220,TCP,218776
1,184.84.222.129,24.6.173.220,TCP,86550
1,184.84.222.89,24.6.173.220,TCP,120362
1,208.93.137.180,24.6.173.220,TCP,65102
2,184.84.222.129,24.6.173.220,TCP,13626
2,184.84.222.89,24.6.173.220,TCP,45420
2,208.93.137.180,24.6.173.220,TCP,3028
3,184.84.222.89,24.6.173.220,TCP,9084
3,208.93.137.180,24.6.173.220,TCP,66
3,67.192.92.227,24.6.173.220,TCP,132
3,93.184.216.169,24.6.173.220,TCP,104658
4,207.171.163.33,24.6.173.220,TCP,111746
4,67.192.92.227,24.6.173.220,TCP,23004
5,208.93.137.180,24.6.173.220,TCP,55678
5,67.192.92.227,24.6.173.220,TCP,10098
6,23.62.228.27,24.6.173.220,TCP,72798
6,93.184.216.169,24.6.173.220,TCP,10598
7,23.62.228.27,24.6.173.220,TCP,59769
7,67.192.92.227,24.6.173.220,TCP,25812
8,184.84.222.129,24.6.173.220,TCP,41668
8,184.84.222.144,24.6.173.220,TCP,91148
8,93.184.216.169,24.6.173.220,TCP,30340
9,184.84.222.144,24.6.173.220,TCP,3130952
10,184.84.222.144,24.6.173.220,TCP,1547816
10,208.93.137.180,24.6.173.220,TCP,60
14,93.184.216.169,24.6.173.220,TCP,120
15,67.192.92.227,24.6.173.220,TCP,120
16,67.192.92.227,24.6.173.220,TCP,120
18,67.192.92.227,24.6.173.220,TCP,192
24,67.192.92.227,24.6.173.220,TCP,180
26,67.192.92.227,24.6.173.220,TCP,192
32,67.192.92.227,24.6.173.220,TCP,240
34,67.192.92.227,24.6.173.220,TCP,192
39,67.192.92.227,24.6.173.220,TCP,240
41,67.192.92.227,24.6.173.220,TCP,384
41,96.17.110.102,24.6.173.220,TCP,62
42,96.17.110.102,24.6.173.220,RTMP,284824
42,96.17.110.102,24.6.173.220,TCP,796238
43,96.17.110.102,24.6.173.220,RTMP,90225
43,96.17.110.102,24.6.173.220,TCP,222340
45,96.17.110.102,24.6.173.220,TCP,470
47,67.192.92.227,24.6.173.220,TCP,420
61,208.93.137.180,24.6.173.220,TCP,240
62,208.93.137.180,24.6.173.220,TCP,360
63,208.93.137.180,24.6.173.220,TCP,240
65,208.93.137.180,24.6.173.220,TCP,600
66,208.93.137.180,24.6.173.220,TCP,2220
67,208.93.137.180,24.6.173.220,TCP,192
68,208.93.137.180,24.6.173.220,TCP,11042
69,208.93.137.180,24.6.173.220,TCP,1634
73,208.93.137.180,24.6.173.220,TCP,60
73,67.192.92.227,24.6.173.220,TCP,23136
73,93.184.216.169,24.6.173.220,TCP,126
74,67.192.92.227,24.6.173.220,TCP,10098
75,23.62.228.27,24.6.173.220,TCP,61283
76,23.62.228.27,24.6.173.220,TCP,59769
76,67.192.92.227,24.6.173.220,TCP,11472
77,67.192.92.227,24.6.173.220,TCP,14340
80,67.192.92.227,24.6.173.220,TCP,120
80,93.184.216.169,24.6.173.220,TCP,120
83,67.192.92.227,24.6.173.220,TCP,120
