No.,Time,Source,Destination,Protocol,Length,Info,Source Latitude,Source Longitude,Destination Latitude,Destination Longitude
1,0.0,24.6.173.220,75.75.75.75,DNS,74,Standard query 0x5285  A www.sfgate.com,37.4404,-121.8705,38.0,-97.0
2,0.012983,75.75.75.75,24.6.173.220,DNS,132,Standard query response 0x5285  CNAME orig-10034.hearst.cotcdn.net A 208.93.137.180,38.0,-97.0,37.4404,-121.8705
3,0.014193,24.6.173.220,75.75.75.75,DNS,74,Standard query 0x30b7  AAAA www.sfgate.com,37.4404,-121.8705,38.0,-97.0
4,0.034265,75.75.75.75,24.6.173.220,DNS,175,Standard query response 0x30b7  CNAME orig-10034.hearst.cotcdn.net,38.0,-97.0,37.4404,-121.8705
5,0.035587,24.6.173.220,208.93.137.180,TCP,66,10615 > 80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1,37.4404,-121.8705,37.3394,-121.895
6,0.053914,208.93.137.180,24.6.173.220,TCP,66,"80 > 10615 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM=1 WS=128",37.3394,-121.895,37.4404,-121.8705
7,0.054046,24.6.173.220,208.93.137.180,TCP,54,10615 > 80 [ACK] Seq=1 Ack=1 Win=65700 Len=0,37.4404,-121.8705,37.3394,-121.895
8,0.054566,24.6.173.220,208.93.137.180,HTTP,549,GET /feedback/ HTTP/1.1 ,37.4404,-121.8705,37.3394,-121.895
9,0.07576,208.93.137.180,24.6.173.220,TCP,60,80 > 10615 [ACK] Seq=1 Ack=496 Win=6912 Len=0,37.3394,-121.895,37.4404,-121.8705
10,0.198335,208.93.137.180,24.6.173.220,TCP,1514,[TCP segment of a reassembled PDU],37.3394,-121.895,37.4404,-121.8705
11,0.20052,208.93.137.180,24.6.173.220,TCP,1514,[TCP segment of a reassembled PDU],37.3394,-121.895,37.4404,-121.8705
12,0.20218,24.6.173.220,208.93.137.180,TCP,54,10615 > 80 [ACK] Seq=496 Ack=2921 Win=65700 Len=0,37.4404,-121.8705,37.3394,-121.895
13,0.228194,24.6.173.220,208.93.137.180,TCP,66,10616 > 80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1,37.4404,-121.8705,37.3394,-121.895
14,0.229065,24.6.173.220,208.93.137.180,TCP,66,10617 > 80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1,37.4404,-121.8705,37.3394,-121.895
15,0.229307,24.6.173.220,208.93.137.180,TCP,66,10618 > 80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1,37.4404,-121.8705,37.3394,-121.895
16,0.229807,24.6.173.220,75.75.75.75,DNS,76,Standard query 0xbb19  A aps.hearstnp.com,37.4404,-121.8705,38.0,-97.0
17,0.229919,24.6.173.220,208.93.137.180,TCP,66,10619 > 80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1,37.4404,-121.8705,37.3394,-121.895
